station_name,latitude,longitude,timestamp,free_bikes,empty_slots
Carrall & Hastings,49.28117,-123.104419,2025-05-13T06:28:19.790026+00:00Z,12,6
8th & Commercial,49.263242,-123.070521,2025-05-13T06:28:20.015884+00:00Z,4,16
Charleson Park,49.267628,-123.127698,2025-05-13T06:28:19.886993+00:00Z,10,3
Princess & Union,49.277615,-123.091654,2025-05-13T06:28:19.957482+00:00Z,8,4
3rd & Quebec,49.268216,-123.103168,2025-05-13T06:28:19.875801+00:00Z,13,1
Stanley Park - Second Beach South,49.294318,-123.148808,2025-05-13T06:28:19.790699+00:00Z,6,11
6th & Carolina,49.265213,-123.090785,2025-05-13T06:28:20.162508+00:00Z,7,9
UBC Bookstore,49.265207,-123.250139,2025-05-13T06:28:20.262953+00:00Z,5,7
Balaclava & Broadway,49.264483,-123.173926,2025-05-13T06:28:20.221589+00:00Z,5,13
Expo & Carrall,49.278004,-123.105664,2025-05-13T06:28:19.740985+00:00Z,8,8
Beach & Seymour,49.273568,-123.129935,2025-05-13T06:28:19.886199+00:00Z,16,2
27th & Main,49.247204,-123.101549,2025-05-13T06:28:20.260391+00:00Z,1,21
Stanley Park - Second Beach North,49.29534,-123.150433,2025-05-13T06:28:19.790439+00:00Z,3,12
Keith & 6th,49.265005,-123.079481,2025-05-13T06:28:20.015289+00:00Z,6,20
Jericho Beach,49.271221,-123.191133,2025-05-13T06:28:20.171983+00:00Z,18,8
Point Grey & Bayswater,49.271044,-123.170661,2025-05-13T06:28:20.221707+00:00Z,8,8
7th & Woodland,49.264251,-123.073853,2025-05-13T06:28:20.016638+00:00Z,3,9
Aquatic Centre,49.27821,-123.136972,2025-05-13T06:28:19.788841+00:00Z,23,17
Cordova & Granville,49.2856698,-123.1125432,2025-05-13T06:28:19.622983+00:00Z,10,8
Vanier Park,49.275717,-123.142564,2025-05-13T06:28:19.788118+00:00Z,10,17
Trafalgar & Broadway,49.264326,-123.164725,2025-05-13T06:28:20.222083+00:00Z,3,13
Napier & Commercial,49.274881,-123.069323,2025-05-13T06:28:20.014696+00:00Z,4,10
7th & Laurel,49.265071,-123.123864,2025-05-13T06:28:19.939404+00:00Z,7,7
Science World,49.273691,-123.102232,2025-05-13T06:28:19.939760+00:00Z,8,8
Pender & Victoria,49.280197,-123.065859,2025-05-13T06:28:20.022014+00:00Z,8,8
Cypress & 16th,49.25741,-123.148531,2025-05-13T06:28:19.792320+00:00Z,4,7
Spyglass & Seawall,49.270877,-123.115103,2025-05-13T06:28:19.588894+00:00Z,4,9
Keefer & Hawks,49.279235,-123.087528,2025-05-13T06:28:20.014174+00:00Z,6,10
29th & Cambie,49.245135,-123.116098,2025-05-13T06:28:20.225912+00:00Z,8,12
Victoria & 10th,49.261188,-123.066009,2025-05-13T06:28:20.047056+00:00Z,4,8
Commercial & Adanac,49.277436,-123.070427,2025-05-13T06:28:20.013438+00:00Z,9,7
Columbia & 14th,49.258902,-123.109596,2025-05-13T06:28:19.922759+00:00Z,5,8
Dunsmuir & Richards,49.282214,-123.114101,2025-05-13T06:28:19.589379+00:00Z,0,12
Campbell & Hastings,49.280852,-123.084746,2025-05-13T06:28:20.014016+00:00Z,13,1
Franklin & Nanaimo,49.282087,-123.056909,2025-05-13T06:28:20.261344+00:00Z,0,20
Charles & Commercial,49.273103,-123.069892,2025-05-13T06:28:20.015143+00:00Z,8,14
Beatty & Nelson,49.275679,-123.116963,2025-05-13T06:28:19.633232+00:00Z,9,4
Trimble & 8th,49.2658,-123.20596,2025-05-13T06:28:20.261534+00:00Z,4,16
David Lam Park,49.270905,-123.126006,2025-05-13T06:28:19.886039+00:00Z,10,5
Burrard & 4th,49.267859,-123.145782,2025-05-13T06:28:19.886518+00:00Z,7,9
Cypress & Cornwall,49.272827,-123.147744,2025-05-13T06:28:19.742030+00:00Z,19,3
Keefer & Princess,49.279369,-123.091241,2025-05-13T06:28:20.014327+00:00Z,4,8
Bidwell & Burnaby,49.28526,-123.141809,2025-05-13T06:28:19.741542+00:00Z,19,5
11th & Kingsway,49.261122,-123.097571,2025-05-13T06:28:19.922646+00:00Z,1,13
Pender & Burrard,49.287097,-123.118551,2025-05-13T06:28:19.590027+00:00Z,6,20
Columbia & 1st,49.269969,-123.109623,2025-05-13T06:28:19.922194+00:00Z,15,8
Melville & Bute,49.287782,-123.12395,2025-05-13T06:28:19.939256+00:00Z,10,4
Anderson & 2nd,49.269361,-123.13782,2025-05-13T06:28:19.742405+00:00Z,15,12
5th & Main,49.266456,-123.100324,2025-05-13T06:28:19.940231+00:00Z,14,6
Alexander & Dunlevy,49.284062,-123.095097,2025-05-13T06:28:19.921331+00:00Z,6,8
13th & St George,49.258817,-123.092797,2025-05-13T06:28:20.017856+00:00Z,3,13
Commercial & Pandora,49.283236,-123.070443,2025-05-13T06:28:20.140770+00:00Z,4,12
Grandview & Commercial,49.263746,-123.069892,2025-05-13T06:28:20.017233+00:00Z,7,9
Expo & Smithe,49.276115,-123.114496,2025-05-13T06:28:19.741836+00:00Z,8,6
Cypress & 14th,49.25919,-123.148268,2025-05-13T06:28:19.791956+00:00Z,7,5
Brock Commons,49.269172,-123.25279,2025-05-13T06:28:20.262575+00:00Z,12,8
Beach & Broughton,49.281301,-123.139108,2025-05-13T06:28:19.788971+00:00Z,14,8
Arbutus Greenway & 14th,49.258924,-123.152591,2025-05-13T06:28:19.920654+00:00Z,3,17
Alexander & Main,49.284157,-123.099917,2025-05-13T06:28:19.920503+00:00Z,11,8
Hornby & Drake,49.277178,-123.13,2025-05-13T06:28:19.939926+00:00Z,7,16
Highbury & 8th,49.265442,-123.187738,2025-05-13T06:28:20.220497+00:00Z,9,10
Pharmaceutical Sciences,49.26262,-123.2431,2025-05-13T06:28:20.263764+00:00Z,8,13
Haro & Denman,49.290587,-123.13625,2025-05-13T06:28:19.884305+00:00Z,19,0
Windsor & 14th,49.257985,-123.083366,2025-05-13T06:28:20.096430+00:00Z,8,6
Prince Edward & 16th,49.256694,-123.096579,2025-05-13T06:28:20.017542+00:00Z,1,13
Cardero & Davie,49.285512,-123.1384,2025-05-13T06:28:19.695385+00:00Z,10,8
Stamps Landing,49.26893,-123.11813,2025-05-13T06:28:19.589057+00:00Z,12,1
Marinaside & Davie,49.273471,-123.118016,2025-05-13T06:28:19.597237+00:00Z,16,6
Adanac & McLean,49.277665,-123.073653,2025-05-13T06:28:19.988074+00:00Z,17,3
Bute & Davie,49.282055,-123.133045,2025-05-13T06:28:19.938964+00:00Z,11,5
Victoria & 4th,49.266725,-123.065925,2025-05-13T06:28:20.046815+00:00Z,12,4
Heather & 29th,49.245535,-123.120496,2025-05-13T06:28:20.225555+00:00Z,0,22
McNicoll & Arbutus,49.276292,-123.150592,2025-05-13T06:28:19.921077+00:00Z,13,17
IK Barber Learning Centre,49.267561,-123.252261,2025-05-13T06:28:20.262764+00:00Z,1,19
Granville Island,49.27029,-123.135025,2025-05-13T06:28:19.939115+00:00Z,6,25
6th & Prince Edward,49.265242,-123.095577,2025-05-13T06:28:20.141331+00:00Z,5,11
Broughton & Davie,49.283749,-123.136133,2025-05-13T06:28:19.789103+00:00Z,3,16
Adanac & Lakewood,49.27751,-123.061429,2025-05-13T06:28:20.260776+00:00Z,3,17
Cypress & 10th,49.262944,-123.148109,2025-05-13T06:28:19.746778+00:00Z,8,6
Thunderbird Parkade,49.261655,-123.241924,2025-05-13T06:28:20.376396+00:00Z,3,14
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,2025-05-13T06:28:19.587271+00:00Z,7,21
22nd & Cambie,49.251358,-123.115637,2025-05-13T06:28:20.226206+00:00Z,1,12
Glen & Broadway,49.262242,-123.081459,2025-05-13T06:28:20.016341+00:00Z,10,8
Stanley Park - Totem Poles,49.298657,-123.121176,2025-05-13T06:28:19.790827+00:00Z,20,0
Davie & Beach,49.287528,-123.142139,2025-05-13T06:28:19.633523+00:00Z,0,30
Pender & Gore,49.280284,-123.097052,2025-05-13T06:28:19.957334+00:00Z,3,11
Richards & Davie,49.275683,-123.124388,2025-05-13T06:28:19.788708+00:00Z,2,9
Pender & Commercial,49.280332,-123.070068,2025-05-13T06:28:20.013646+00:00Z,7,9
18th & Cambie,49.254818,-123.114785,2025-05-13T06:28:20.226067+00:00Z,3,21
2nd & Commercial,49.268616,-123.069908,2025-05-13T06:28:20.015591+00:00Z,11,10
Wesbrook Village - Berton & Shrum,49.25478,-123.23621,2025-05-13T06:28:20.376703+00:00Z,21,4
Chilco & Robson,49.293257,-123.138563,2025-05-13T06:28:19.789632+00:00Z,9,11
Keefer & Columbia,49.279342,-123.101822,2025-05-13T06:28:19.741131+00:00Z,10,4
Rogers Tower,49.288682,-123.11818,2025-05-13T06:28:19.955869+00:00Z,3,14
Woodland & Graveley,49.270684,-123.073562,2025-05-13T06:28:20.016934+00:00Z,5,7
Cardero & Bayshore,49.291597,-123.129158,2025-05-13T06:28:19.955690+00:00Z,8,12
Nelson & Denman,49.2890705989865,-123.138407369468,2025-05-13T06:28:20.167777+00:00Z,13,5
